AthleteID,FullName,Gender],CountryID
5430,DOLAN  Tom,Men,USA
5432,DOLE  George Stuart,Men,USA
5434,DOLFEN  Peter J.,Men,USA
5435,DOLGOPOLOVA  Elena,Women,RUS
5436,DOLGOV  Vladimir,Men,URS
5437,DOLGOWICZ  Jan,Men,POL
5438,DOLGUSHIN  Aleksandr,Men,URS
5439,DOLININ  Valeri,Men,URS
5442,DOLLINGER  Rudolf,Men,AUT
5443,DOLMAN  Evert Gerardus,Men,NED
5445,DOLQUES  L. Lucien,Men,FRA
5446,DOLSON-CAVILL  Mildred Jeanette,Women,CAN
5448,DOMAN  Amanda,Women,AUS
5449,DOMANI  Vyacheslav,Men,URS
5451,DOMBI  Rudolf,Men,HUN
5453,DOMECQ FORTUONDO  Juan Carlos,Men,CUB
5454,DOMENICALI  Antonio,Men,ITA
5455,DOMENICHELLI  Guiseppe,Men,ITA
5456,DOMINGO MASSONI  Carlos,Men,BRA
5457,DOMINIKOVIC  Davor,Men,CRO
5458,DOMNINA  Oksana,Women,RUS
5459,DOMPERT  Alfred,Men,GER
5460,DOMRACHEVA  Darya,Women,BLR
5461,DONADEL  Marco,Men,ITA
5462,DONAGRANDI  Stefano,Men,ITA
5463,DONAHUE  Claire,Women,USA
5464,DONAHUE  James Joseph,Men,USA
5465,DONALD  Jason,Men,USA
5466,DONATH  Ferenc,Men,HUN
5468,DONATO  Fabrizio,Men,ITA
5469,DONCHENKO  Natalya,Women,URS
5470,DONES  Erminio,Men,ITA
5472,DONEV  Asparukh,Men,BUL
5473,DONG  Dong,Men,CHN
5474,DONG  Jiong,Men,CHN
5475,DONG  Zhaozhi,Men,CHN
5476,DONGUZASHVILI  Tea,Women,RUS
5477,DONIE  Scott R.,Men,USA
5478,DONIZETE LUIZ  Sergio,Men,BRA
5479,DONKOVA  Yordanka,Women,BUL
5480,DONLON  Peter Dwight,Men,USA
5481,DONNE  William Stephen,Men,GBR
5482,DONNELLY  Euphrasia,Women,USA
5483,DONNELLY  John Henry,Men,CAN
5484,DONNERS  Hermann,Men,BEL
5485,DONNERS  Mijntje,Women,NED
5486,DONNERS  Wilhelmina,Women,NED
5487,DONOHOE  Shelagh,Women,USA
5488,DONOVAN  Anne Theresa,Women,USA
5489,DONSKOVA  Uliana,Women,RUS
5490,DONUSZ  Eva,Women,HUN
5491,DOOLING  Martin T.,Men,USA
5492,DOORMAN  Jetze,Men,NED
5493,DOPIERALA  Marek,Men,POL
5494,DOPITA  Jiri,Men,CZE
5496,DORADO  Natalia,Women,ESP
5497,DORDONI  Giuseppe,Men,ITA
5498,DORESTE  Jose Luis,Men,ESP
5499,DORESTE  Luis,Men,ESP
5500,DORFMANN  Xavier,Men,FRA
5501,DORFMEISTER  Michaela,Women,AUT
5502,DORFNER  Alfons,Men,AUT
5503,DORGEBRAY  Robert,Men,FRA
5504,D'ORGEIX  Jean Francois,Men,FRA
5505,DORIN  Marie,Women,FRA
5506,DORIO  Gabriella,Women,ITA
5507,D'ORIOLA  Christian,Men,FRA
5508,DORIZAS  Mikael M.,Men,GRE
5509,DORJSUREN  Munkhbayar,Women,GER
5510,DORMAN  Loretta,Women,AUS
5512,DORODNOVA  Oxana,Women,RUS
5513,DOROFEYEV  Dmitry,Men,RUS
5515,DOROKHOV  Vladimir,Men,URS
5516,DOROVSKIH  Tatiana,Women,EUN
5517,DORSEY  Carl James,Men,USA
5518,DORSOGNA  Tommaso,Men,AUS
5519,DORST  Christopher Taylor,Men,USA
5520,DOS SANTOS  Giovani,Men,MEX
5521,DOS SANTOS  Manoel,Men,BRA
5522,DOS SANTOS JUNIOR  Sidnei,Men,BRA
5523,DOSSEY  Ibrahim,Men,GHA
5524,DOSSIN  Kurt,Men,GER
5525,DOSTAL  Josef,Men,CZE
5526,DOSU  Joseph,Men,NGR
5527,DOTSENKO  Sergey,Men,UKR
5528,D'OTTAVIO  Alessandro,Men,ITA
5529,D'OTTAVIO  Fabrizia,Women,ITA
5530,DOUBELL  Ralph,Men,AUS
5532,DOUDEVA  Diana,Women,BUL
5533,DOUGHERTY  Richard Leo,Men,USA
5534,DOUGHTY  Drew,Men,CAN
5535,DOUGLAS  David,Men,AUS
5536,DOUGLAS  Donald Willis Jr.,Men,USA
5537,DOUGLAS  Gabrielle,Women,USA
5538,DOUGLAS  Guillermo,Men,URU
5539,DOUGLAS  Herbert Paul Jr.,Men,USA
5540,DOUGLAS  Jack,Men,CAN
5541,DOUGLAS  John William Henry T.,Men,GBR
5542,DOUGLAS  Rowley,Men,GBR
5543,DOUGLAS  Sandra Marie,Women,GBR
5544,DOUGOUTCHIEV  Islam,Men,EUN
5545,DOUGUINE  Dmitri,Men,RUS
5546,DOUICHEBAEV  Talant,Men,ESP
5547,DOUICHEBAEV  Talant,Men,EUN
5548,DOUILLET  David,Men,FRA
5549,DOUKOV  Mikho,Men,BUL
5550,D'OULTROMENT  Herman,Men,BEL
5551,DOUNEV  Krassimir Nikolaev,Men,BUL
5552,DOVER  Robert,Men,USA
5553,DOVER  Robert Jeffrey,Men,USA
5554,DOVGAL  Pavel,Men,BLR
5555,DOVGALYONOK  Dmitri,Men,EUN
5556,DOVGAN  Nikolai,Men,URS
5557,DOVGODKO  Nataliya,Women,UKR
5558,DOVZAN  Alenka,Women,SLO
5559,DOWEY  Murray Albert,Men,CAN
5560,DOWLER  Joseph,Men,GBR
5561,DOWLING  J.W.,Men,USA
5562,DOWNES  Arthur Drummond,Men,GBR
5563,DOWNES  John Henry,Men,GBR
5564,DOWNEY  Raymond Tyler,Men,CAN
5565,DOWNIE  Gordon Hunter,Men,GBR
5566,DOWNING  Burton,Men,USA
5567,DOYLE  Brian John,Men,AUS
5568,DRAEGER  Richard Arthur,Men,USA
5570,DRAGAN  Stanislaw,Men,POL
5572,DRAGANJA  Duje,Men,CRO
5574,DRAGILA  Stacy,Women,USA
5577,DRAGUNSKI  Mark,Men,GER
5579,DRAKENBERG  Hans,Men,SWE
5580,DRANSART  Georges,Men,FRA
5581,DRAPER  Chris,Men,GBR
5582,DRAPER  Foy,Men,USA
5583,DRATSCHEV  Vladimir,Men,RUS
5584,DRAVES  Victoria Manalo,Women,USA
5585,DRAYTON  Otis Paul,Men,USA
5586,DRDELMANN  Sylvia,Women,GER
5588,DRECHSLER  Heike,Women,GER
5589,DREHER  Joseph,Men,FRA
5590,DREHER  Lachlan,Men,AUS
5594,DREISKENS  Daumants,Men,LAT
5595,DREOSSI  Bruno,Men,ITA
5596,DRESCHER  Ludwig,Men,DEN
5597,DRESSEL  Wally,Women,GER
5598,DRESSER  Ivan,Men,USA
5599,DRESTYAK-DUNAI  Lajos,Men,HUN
5600,DREVAL  Aleksandr,Men,URS
5601,DREVINE  Dmitri,Men,RUS
5602,DREWEK  Boleslaw,Men,POL
5603,DREWS  Egon,Men,GER
5604,DREXEL  Wiltrud,Women,AUT
5605,DREXLER  Clyde,Men,USA
5606,DREYER  Gerald,Men,RSA
5607,DREYER  Pam,Women,USA
5608,DREYFUS  Yves,Men,FRA
5609,DRIES  Annika,Women,USA
5610,DRIESEN  Steffen,Men,GER
5611,DRIJVER  Johan Frederik,Men,NED
5613,DRIVAS  Dimitrios,Men,GRE
5617,DROEGEMUELLER  William Herbert,Men,USA
5620,DROGOSZ  Leszek (Lech),Men,POL
5621,DROLET  Francois,Men,CAN
5622,DROLET  Marie-Eve,Women,CAN
5623,DROLET  Nancy,Women,CAN
5624,DRON  Georges,Men,FRA
5625,DROOG  Henricus Antonius,Men,NED
5627,DROST  Johannes,Men,NED
5628,DROUIN  Derek,Men,CAN
5629,DROZDETSKI  Nikolai,Men,URS
5631,DRRIS  Jana,Women,GER
5632,DRSE  Karl,Men,GER
5633,DRUART  Jr.,Men,BEL
5635,DRUMMOND  Greg,Men,GBR
5636,DRUMMOND  Jon,Men,USA
5637,DRURY  Chris,Men,USA
5638,DRURY  Herbert,Men,USA
5639,DRURY  Herbert James,Men,GBR
5640,DRURY  Herbert L.,Men,USA
5641,DRUT  Guy,Men,FRA
5642,DRYKE  Matthew Alexander,Men,USA
5643,DRYSDALE  Mahe,Men,NZL
5644,DSKOW  Willi,Men,GER
5645,D'SOUZA  Walter,Men,IND
5646,DU  Jing,Women,CHN
5647,DU  Li,Women,CHN
5648,DU BIEF  Jacqueline,Women,FRA
5649,DUALDE SANTOS DE LA MADRID  Eduardo,Men,ESP
5650,DUALDE SANTOS DE LA MADRID  Joaquin,Men,ESP
5651,DUBBELDAM  Jeroen,Men,NED
5652,DUBOSCQ  Hugues,Men,FRA
5653,DUBROVIN  Konstantin,Men,GER
5654,DUBROVSHCHIK  Vladimir,Men,BLR
5655,DUBROVSKY  Boris,Men,URS
5657,DUCATILLON  Alphonse,Men,BEL
5658,DUCHEIX  Franck,Men,FRA
5659,DUCHENE  Matt,Men,CAN
5660,DUCHESNAY  Paul,Men,FRA
5661,DUCHESNAY-DEAN  Isabelle,Women,FRA
5664,DUCKER  George,Men,CAN
5665,DUCKETT  Richard Louis,Men,CAN
5666,DUCKWITZ  Eike,Men,GER
5667,DUCRET  Roger Franois,Men,FRA
5668,DUDAS  Zoltan,Men,HUN
5669,DUDEK  Alyson,Women,USA
5670,DUDIN  Valery,Men,URS
5671,DUDKINA  Ksenia,Women,RUS
5672,DUDZIAK  Marjan,Men,POL
5673,DUE  Peter,Men,DEN
5674,DUE  Steen,Men,DEN
5675,DUE-BOJE  Christian,Men,SWE
5676,DUENAS  Yobal,Men,CUB
5677,DUENKEL  Virginia Ruth,Women,USA
5678,DUENSING  Brian,Men,USA
5679,DUFF  Jason,Men,AUS
5680,DUFFNER  Christof,Men,GER
5681,DUFFOY  Louis,Men,FRA
5682,DUFOUR  Frederic,Men,FRA
5683,DUFOUR  Louis,Men,SUI
5684,DUFOUR-LAPOINTE  Chloe,Women,CAN
5685,DUFOUR-LAPOINTE  Justine,Women,CAN
5686,DUFOURT D'ASTAFORT  Michel,Men,FRA
5687,DUGDALE  Gary,Men,GBR
5688,DUGGAN  Luis J.,Men,ARG
5689,DUGGAN  Meghan,Women,USA
5690,DUHA  John,Men,USA
5691,DUHAMEL  Meagan,Women,CAN
5692,DUJARDIN  Charlotte,Women,GBR
5693,DUJARDIN  Paul,Men,FRA
5694,DUJMOVITS  Julia,Women,AUT
5695,DUKE  John,Men,GBR
5696,DUKURS  Martins,Men,LAT
5697,DULEEV  Evgeni,Men,URS
5698,DULIEUX  Henri,Men,FRA
5699,DUMAIS  Troy,Men,USA
5701,DUMAS  Charles Everett,Men,USA
5702,DUMBADZE  Nina,Women,URS
5703,DUMCHEV  Aleksandr,Men,URS
5704,DUMCHEVA  Antonina,Women,URS
5705,DUMERC  Celine,Women,FRA
5717,DUMONTOIS  Robert,Men,FRA
5718,DUMOULIN  Franck,Men,FRA
5719,DUNAI  Antal,Men,HUN
5720,DUNAI  Ede,Men,HUN
5721,DUNAI  Janos,Men,HUN
5722,DUNAND  Bernard,Men,SUI
5723,DUNAVSKA  Adriana,Women,BUL
5724,DUNBAR  James Ralph,Men,USA
5725,DUNCAN  James Henry,Men,USA
5726,DUNCAN  Timothy,Men,USA
5727,DUNCANSON  Albert,Men,CAN
5729,DUNECKI  Leszek,Men,POL
5730,DUNHAM  Mike,Men,USA
5731,DUNIMERTH  Frank,Men,USA
5733,DUNKLE  Nancy Lynn,Women,USA
5734,DUNKLEY-SMITH  Joshua,Men,AUS
5735,DUNLAP  David Coombs,Men,USA
5736,DUNLOP  David,Men,GBR
5737,DUNN  Gordon Glover,Men,USA
5738,DUNN PLOESSEL  Velma Clancy,Women,USA
5739,DUNN-DOWNING  Shannon,Women,USA
5740,DUNNE  David Michael,Men,GBR
5741,DUNN-LUOMA  Tricia,Women,USA
5742,DUNSKA-KRZESINSKA  Elzbieta,Women,POL
5743,DUNSTER  Bernard Frank,Men,CAN
5744,DUPARC,Men,FRA
5745,DUPLANTY  Christopher,Men,USA
5746,DUPLITZER  Imke,Women,GER
5747,DUPONT  Clment,Men,FRA
5748,DUPONT  Emile,Men,BEL
5749,DUPONT  Jacques,Men,FRA
5750,DUPOUY  Albert,Men,FRA
5751,DUPREE  Donald,Men,USA
5752,DUPREE  William,Men,USA
5753,DUPUIS  Lori,Women,CAN
5754,DUPUREUR  Maryvonne,Women,FRA
5756,DURALIEV  Osman,Men,BUL
5757,DURAN  Andrea,Women,USA
5758,DURAND JR.  Pierre,Men,FRA
5759,DURANT  Albert,Men,BEL
5760,DURANT  Hugh,Men,GBR
5761,DURANT  Kevin,Men,USA
5763,DURIN  Paul Joseph,Men,FRA
5765,DURNTHALER  Reinhold,Men,AUT
5766,DURQUETTY  Maurice,Men,FRA
5769,DUSHEV  Andrian,Men,BUL
5770,DUSING  Nate,Men,USA
5771,DUSON  Emiel Paulus Josef,Men,NED
5772,DUSSERRE  Michelle Hollis,Women,USA
5773,DUSSERRE  Thierry,Men,FRA
5774,DUTHIE  James Livingstone,Men,GBR
5775,DUTT  Yogeshwar,Men,IND
5776,DUTTON  Brett,Men,AUS
5777,DUTTON  E.O.,Men,GBR
5778,DUTTON  Phillip,Men,AUS
5779,DUVAL  Alfred W.,Men,AUS
5780,DUVALL  Samuel Harding,Men,USA
5781,DUVALON CARRION  Ramon,Men,CUB
5782,DUVANT  Georges,Men,FRA
5783,DUVERGEL  Alfredo,Men,CUB
5784,DUVERGEL  Giorbis,Men,CUB
5785,DUVHOLT  Kristine,Women,NOR
5787,DUVILLARD  Robin,Men,FRA
5788,DUVNJAK  Domagoj,Men,CRO
5789,DUWELIUS  Richard Lloyd,Men,USA
5790,DUYSTER  Jeroen,Men,NED
5791,DUYSTER  Willemijn,Women,NED
5792,DVOINIKOV  Valeri,Men,URS
5793,DVORAK  Charles,Men,USA
5794,DVORAK  Douglas Scott,Men,USA
5796,DVORAK  Tomas,Men,CZE
5797,DVORNY  Ivan,Men,URS
5798,DWYER  Conor,Men,USA
5799,DWYER  Jamie,Men,AUS
5800,DWYER  Patrick,Men,AUS
5801,DYACHENKO  Alexander,Men,RUS
5802,DYBENDAHL HARTZ  Trude,Women,NOR
